Schedule E: Merchandise,,,,,,,,,,
Own/  Other,Type,No.,Item,Description,Year of Manufacture,Date of Purchase,Purchase Price Per Item,Cumulative Purchase Price,Estimated Market Value Per Item,Cumulative Estimated Market Value
own,Finished Goods or Products,125,W162CTBKXXF,20CONDUCTOR 160GAUGE BLACK COTTON TWISTED WIRE,~last 3 years,,0.15,18.75,1.7,212.5
own,Finished Goods or Products,5,W162CTBKXXS,20CONDUCTOR 160GAUGE BLACK COTTON TWISTED WIRE,~last 3 years,,39.62,198.1,170,850
own,Finished Goods or Products,160,W162CTDBXXF,20CONDUCTOR 160GAUGE DARK BROWN COTTON TWISTED WIRE,~last 3 years,,0.15,24,1.7,272
own,Finished Goods or Products,1,W162CTDBXXS,20CONDUCTOR 160GAUGE DARK BROWN COTTON TWISTED WIRE,~last 3 years,,38.36,38.36,170,170
own,Finished Goods or Products,369,W162CTPTGDF,20CONDUCTOR 160GAUGE PUTTY COTTON TWISTED WIRE WITH GOLD TRACER,~last 3 years,,0.12,44.28,1.7,627.3
own,Finished Goods or Products,5,W162CTPTGDS,"20conductor 160gauge PUTTY, Gold marker thread, twisted COTTON wire 0 2500foot spool",~last 3 years,,38.36,191.8,170,850
own,Finished Goods or Products,91,W163CJBKXXF,30CONDUCTOR 160GAUGE BLACK COTTON HEAVY0DUTY PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.27,24.57,1.5,136.5
own,Finished Goods or Products,9,W163CJBKXXS,30CONDUCTOR 160GAUGE BLACK COTTON HEAVY0DUTY PULLEY CORD 0 UL0Listed 0  by the 1000foot spool,~last 3 years,,20,180,120,"1,080.00"
own,Finished Goods or Products,13,W163CJBW1CF,30CONDUCTOR 160GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON HEAVY0DUTY PULLEY CORD 0 UL0Listed...,~last 3 years,,0.27,3.51,1.2,15.6
own,Finished Goods or Products,11,W163CJBW1CS,30CONDUCTOR 160GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON HEAVY0DUTY PULLEY CORD 0 UL0Listed...,~last 3 years,,27,297,120,"1,320.00"
own,Finished Goods or Products,336,W163CJBW1TF,30CONDUCTOR 160GAUGE BLACK & WHITE SINGLE TRACER COTTON HEAVY0DUTY PULLEY CORD 0 UL0Listed 0 by ...,~last 3 years,,0.27,90.72,1.5,504
own,Finished Goods or Products,2,W163CJBW1TS,30CONDUCTOR 160GAUGE BLACK & WHITE SINGLE TRACER COTTON HEAVY0DUTY PULLEY CORD 0 UL0Listed 0  by...,~last 3 years,,29.12,58.24,145,290
own,Finished Goods or Products,0,W163CJDBXXF,30CONDUCTOR 160GAUGE DARK BROWN COTTON HEAVY0DUTY PULLEY CORD 0 UL0Listed 0 by the foot,~last 3 years,,0.27,0,1.5,0
own,Finished Goods or Products,0,W163CJDBXXS,30CONDUCTOR 160GAUGE DARK BROWN COTTON HEAVY0DUTY PULLEY CORD 0 UL0Listed 0  by the 1000foot spool,~last 3 years,,29.12,0,120,0
