SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value,Vendor,Part Number,Cost Source
CTUBE-3NOS,porcelain-tube,PORCELAIN TUBE,"3-3.75""",active,TRUE,Knob & Tube,0,8.00,,,,,
CTUBE-4F,porcelain-tube,PORCELAIN TUBE,"4-4.75""",active,TRUE,Knob & Tube,1,2.00,,,,,
CTUBE-4G,porcelain-tube,PORCELAIN TUBE,"4-4.75""",active,TRUE,Knob & Tube,0,3.00,,,,,
CTUBE-4NOS,porcelain-tube,PORCELAIN TUBE,"4-4.75""",active,TRUE,Knob & Tube,0,8.00,,,,,
CTUBE-5F,porcelain-tube,PORCELAIN TUBE,"5-5.75""",active,TRUE,Knob & Tube,2,2.00,,,,,
CTUBE-5G,porcelain-tube,PORCELAIN TUBE,"5-5.75""",active,TRUE,Knob & Tube,43,3.00,,,,,
CTUBE-5NOS,porcelain-tube,PORCELAIN TUBE,"5-5.75""",active,TRUE,Knob & Tube,0,8.00,,,,,
CTUBE-6F,porcelain-tube,PORCELAIN TUBE,"6-6.75""",active,TRUE,Knob & Tube,1,2.00,,,,,
CTUBE-6G,porcelain-tube,PORCELAIN TUBE,"6-6.75""",active,TRUE,Knob & Tube,7,3.00,,,,,
CTUBE-6NOS,porcelain-tube,PORCELAIN TUBE,"6-6.75""",active,TRUE,Knob & Tube,0,8.00,,,,,
FINIALPYRAB,finial-pyramid-style,"FINIAL: Large Pyramid Knob 1 1/4"" Height - 1/8 IP",antique brass,active,TRUE,Finials,14,3.00,,,,,
FINIALPYRBR,finial-pyramid-style,"FINIAL: Large Pyramid Knob 1 1/4"" Height - 1/8 IP",brass,active,TRUE,Finials,0,3.00,,,,,
FINIALPYRNK,finial-pyramid-style,"FINIAL: Large Pyramid Knob 1 1/4"" Height - 1/8 IP",nickel,active,TRUE,Finials,3,3.00,,,,,
FINIALTHAB,finial-top-hat-style,FINIAL: TOP HAT STYLE - 1/4-27 IP,antique brass,active,TRUE,Finials,35,0.65,0.54,18.90,Satco,80-1518,Catalog 80-1518
FINIALTHBR,finial-top-hat-style,FINIAL: TOP HAT STYLE - 1/4-27 IP,brass,active,TRUE,Finials,43,0.65,0.48,20.64,Satco,80-1181,Catalog 80-1181
FINIALTHBZ,finial-top-hat-style,FINIAL: TOP HAT STYLE - 1/4-27 IP,dark antique brass,active,TRUE,Finials,41,0.65,0.32,13.12,Satco,80-1519,PO 1013 80-1519
FINIALTHNK,finial-top-hat-style,FINIAL: TOP HAT STYLE - 1/4-27 IP,nickel,active,TRUE,Finials,64,0.65,0.48,30.72,Satco,80-1182,Catalog 80-1182
GROMMET,grommet,"GROMMET: Black Rubber, 1/2"" diameter for wireway hole",Default Title,active,TRUE,Miscellaneous,338,0.50,,,,,
HRPHDAB10,heavy-duty-harp,"GROMMET: Black Rubber, 1/2"" diameter for wireway hole",antique brass,active,TRUE,Miscellaneous,30,2.00,1.26,37.80,Satco,90-2268,Est (catalog $2.35 x 0.536)
HRPHDAB8,heavy-duty-harp,"GROMMET: Black Rubber, 1/2"" diameter for wireway hole",antique brass,active,TRUE,Miscellaneous,47,2.00,1.18,55.46,Satco,90-2266,Est (catalog $2.20 x 0.536)
HRPHDAB9,heavy-duty-harp,"GROMMET: Black Rubber, 1/2"" diameter for wireway hole",antique brass,active,TRUE,Miscellaneous,32,2.00,1.23,39.36,Satco,90-2267,Est (catalog $2.30 x 0.536)
HRPHDAB9.5,heavy-duty-harp,"GROMMET: Black Rubber, 1/2"" diameter for wireway hole",antique brass,active,TRUE,Miscellaneous,107,2.00,1.23,131.61,Satco,80-2293,Est (catalog $2.30 x 0.536)
HRPHDBR10,heavy-duty-harp,"GROMMET: Black Rubber, 1/2"" diameter for wireway hole",brass,active,TRUE,Miscellaneous,13,2.00,1.10,14.30,Satco,90-922,Est (catalog $2.05 x 0.536)
HRPHDBR8,heavy-duty-harp,HEAVY DUTY HARP,brass,active,TRUE,Harps,9,2.00,1.02,9.18,Satco,90-920,Est (catalog $1.90 x 0.536)
HRPHDBR8.5,heavy-duty-harp,HEAVY DUTY HARP,brass,active,TRUE,Harps,14,2.00,1.02,14.28,Satco,90-553,Est (catalog $1.90 x 0.536)
HRPHDBR9,heavy-duty-harp,HEAVY DUTY HARP,brass,active,TRUE,Harps,13,2.00,1.04,13.52,Satco,90-921,Est (catalog $1.95 x 0.536)
