SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W182CPBW1CS,2-conductor-18-gauge-black-and-white-single-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,8,80.00,17.46,139.68
W182CPBW1TF,2-conductor-18-gauge-black-and-white-single-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,421,0.90,0.16,67.36
W182CPBW1TMNS,2-conductor-18-gauge-black-and-white-single-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,12,80.00,17.46,209.52
W182CPBW1TS,2-conductor-18-gauge-black-and-white-single-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,4,80.00,17.46,69.84
W182CPBW2CF,2-conductor-18-gauge-black-and-white-double-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,600,0.90,0.16,96.00
W182CPBW2CMNS,2-conductor-18-gauge-black-and-white-double-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,18,80.00,17.46,314.28
W182CPBW2CS,2-conductor-18-gauge-black-and-white-double-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,6,80.00,17.46,104.76
W182CPBW2TF,2-conductor-18-gauge-black-and-white-double-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD -UL-Listed,By the foot,active,TRUE,Wire,30,0.90,0.16,4.80
W182CPBW2TMNS,2-conductor-18-gauge-black-and-white-double-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD -UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,19,80.00,17.46,331.74
W182CPBW2TS,2-conductor-18-gauge-black-and-white-double-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD -UL-Listed,By the 100-foot spool,active,TRUE,Wire,0,80.00,17.46,
