SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W183CPWHXXMNS,3-conductor-18-gauge-white-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE WHITE COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,13,89.0,33.25,432.25
W183CPWHXXS,3-conductor-18-gauge-white-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE WHITE COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,3,89.0,33.25,99.75
W183RPBKXXF,3-conductor-18-gauge-black-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE BLACK RAYON PULLEY CORD - UL-Listed,By the foot,active,,Wire,0,1.05,0.37,
W183RPBKXXS,3-conductor-18-gauge-black-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE BLACK RAYON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,-69,89.0,38.05,
W183RPGDXXF,3-conductor-18-gauge-gold-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE GOLD RAYON PULLEY CORD - UL-Listed,By the foot,active,,Wire,175,1.05,0.37,64.75
W183RPGDXXMNS,3-conductor-18-gauge-gold-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE GOLD RAYON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,8,89.0,38.05,304.4
W183RPGDXXS,3-conductor-18-gauge-gold-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE GOLD RAYON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,0,89.0,38.05,
W183RPPWXXF,3-conductor-18-gauge-pewter-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE PEWTER RAYON PULLEY CORD - UL-Listed,By the foot,active,,Wire,335,1.05,0.37,123.95
W183RPPWXXMNS,3-conductor-18-gauge-pewter-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE PEWTER RAYON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,9,89.0,38.05,342.45
W183RPPWXXS,3-conductor-18-gauge-pewter-rayon-pulley-cord,3-CONDUCTOR 18-GAUGE PEWTER RAYON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,3,89.0,38.05,114.15
